127.0.0.1, 2016-01-12 16:23:29, GET, /, HTTP/1.1, 303, 0.007369
127.0.0.1, 2016-01-12 16:23:30, GET, /welcome/default/index, HTTP/1.1, 200, 0.343412
127.0.0.1, 2016-01-12 16:23:30, GET, /welcome/static/css/bootstrap-theme.min.css, HTTP/1.1, 200, 0.000753
127.0.0.1, 2016-01-12 16:23:30, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.001745
127.0.0.1, 2016-01-12 16:23:40, GET, /ElectionsStats/default/index, HTTP/1.1, 200, 0.178985
127.0.0.1, 2016-01-12 20:46:21, GET, /, HTTP/1.1, 303, 0.004737
127.0.0.1, 2016-01-12 20:46:21, GET, /welcome/default/index, HTTP/1.1, 200, 0.174898
127.0.0.1, 2016-01-12 20:46:21, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.002506
127.0.0.1, 2016-01-12 20:46:21, GET, /welcome/static/css/bootstrap-theme.min.css, HTTP/1.1, 200, 0.000637
127.0.0.1, 2016-01-12 20:46:21, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.001553
127.0.0.1, 2016-01-12 20:46:21, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.002729
127.0.0.1, 2016-01-12 20:46:21, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.001925
127.0.0.1, 2016-01-12 20:46:21, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.001873
127.0.0.1, 2016-01-12 20:46:21, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.001068
127.0.0.1, 2016-01-12 20:46:21, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.002060
127.0.0.1, 2016-01-12 20:46:21, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.000573
127.0.0.1, 2016-01-12 20:46:21, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.002960
127.0.0.1, 2016-01-12 20:46:21, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.000733
127.0.0.1, 2016-01-12 20:46:21, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.000952
127.0.0.1, 2016-01-12 20:46:21, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.001542
127.0.0.1, 2016-01-12 20:46:21, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.001379
